,0,1,2,3,4,5,6,7
0,table 13.1.22: global: investments in electricity generation,2012-,2021-,2031-,2041-,2012-,unit,annual average
1,ref ,2020,2030,2040,2050,2050,,2012-2050
2,fossil (w/o chp) billion $ ,"1,673.6","2,205.0","2,725.4","2,866.8","9,470.9",billion $/a,242.8
3,nuclear billion $ ,678.6,740.5,654.9,731.1,"2,805.1",billion $/a,71.9
4,chp (fossil + renewable) billion $ ,712.2,651.8,433.5,123.8,"1,921.3",billion $/a,49.3
5,renewables (w/o chp) billion $ ,"2,417.8","2,274.4","2,863.0","2,775.8","10,331.0",billion $/a,264.9
6,total billion $ ,"5,482.3","5,871.7","6,676.8","6,497.6","24,528.3",billion $/a,628.9
7,conventional (fossil & nuclear) billion $ ,"2,996.6","3,512.9","3,753.8","3,680.7","13,944.1",billion $/a,357.5
8,renewables billion $ ,"2,485.7","2,358.8","2,922.9","2,816.9","10,584.3",billion $/a,271.4
9,biomass billion $ ,209.1,229.3,281.1,265.3,984.8,billion $/a,25.3
10,hydro billion $ ,999.9,984.4,900.9,895.3,"3,780.5",billion $/a,96.9
11,wind billion $ ,585.5,690.7,973.4,"1,011.5","3,261.1",billion $/a,83.6
12,pv billion $ ,516.5,253.5,454.5,281.4,"1,505.9",billion $/a,38.6
13,geothermal billion $ ,113.4,111.4,132.0,157.5,514.2,billion $/a,13.2
14,solar thermal power plants billion $ ,56.2,76.9,139.9,174.3,447.5,billion $/a,11.5
15,ocean energy billion $ ,4.9,12.5,41.1,31.6,90.2,billion $/a,2.3
16,fossil (w/o chp) billion $ ,"1,248.5",544.4,819.7,858.0,"3,470.6",billion $/a,89.0
17,nuclear billion $ ,197.6,0.6,0.8,0.0,198.9,billion $/a,5.1
18,chp (fossil + renewable) billion $ ,851.2,"1,362.8","1,490.5","1,675.0","5,379.5",billion $/a,137.9
19,renewables (w/o chp) billion $ ,"3,808.8","9,872.1","12,385.8","13,170.0","39,236.7",billion $/a,"1,006.1"
20,total billion $ ,"6,106.1","11,779.9",14696.7,"15,703.0","48,285.8",billion $/a,"1,238.1"
21,conventional (fossil & nuclear) billion $ ,"2,072.6","1,066.4","1,147.0","1,019.4","5,305.3",billion $/a,136.0
22,renewables billion $ ,"4,033.5","10,713.5","13,549.8","14,683.7","42,980.4",billion $/a,"1,102.1"
23,biomass billion $ ,341.0,659.3,747.5,"1,136.2","2,884.0",billion $/a,73.9
24,hydro 3.98wind billion $ billion $ ,"1,068.3",963.8,"3,361.5","608.8 5,176.3","2,782.7 14,043.8",billion $/a billion $/a,71.4 360.1
25,pv billion $ ,"1,212.8","2,812.9","2,914.4","3,045.8","9,986.0",billion $/a,256.1
26,geothermal billion $ ,214.5,898.8,"1,299.3","1,280.3","3,692.9",billion $/a,94.7
27,solar thermal power plants billion $ ,168.7,"1,921.2","2,796.6","2,818.1","7,704.7",billion $/a,197.6
28,ocean energy billion $ ,64.3,416.8,787.1,618.1,"1,886.4",billion $/a,48.4
29,fossil (w/o chp) billion $ ,"1,167.4",496.0,938.5,"1,069.2","3,671.1",billion $/a,94.1
30,nuclear billion $ ,197.6,0.6,0.8,0.0,198.9,billion $/a,5.1
31,chp (fossil + renewable) billion $ ,851.9,"1,359.0","1,467.1","1,619.6","5,297.6",billion $/a,135.8
32,renewables (w/o chp) billion $ ,"4,292.3","13,403.0","18,094.0","19,835.9","55,625.2",billion $/a,"1,426.3"
33,total billion $ ,"6,509.1","15,258.6","20,500.3","22,524.7","64,792.8",billion $/a,"1,661.4"
34,conventional (fossil & nuclear) billion $ ,"1,981.0","1,016.8","1,250.2","1,194.9","5,443.0",billion $/a,139.6
35,renewables billion $ ,"4,528.1","14,241.8","19,250.1","21,329.9","59,349.8",billion $/a,"1,521.8"
36,biomass billion $ ,364.0,673.6,773.7,"1,036.2","2,847.5",billion $/a,73.0
37,hydro billion $ ,963.8,657.3,588.7,668.8,"2,878.7",billion $/a,73.8
38,wind billion $ ,"1,243.5","4,341.0","6,518.9","7,549.4","19,652.8",billion $/a,503.9
39,pv billion $ ,"1,402.1","3,826.3","3,845.3","4,333.3","13,406.9",billion $/a,343.8
40,geothermal billion $ ,256.5,"1,136.0","1,822.3","1,856.6","5,071.3",billion $/a,130.0
41,solar thermal power plants billion $ ,230.3,"3,019.3","4,654.6","5,071.2","12,975.3",billion $/a,332.7
42,ocean energy billion $ ,67.9,588.3,"1,046.7",814.4,"2,517.3",billion $/a,64.5
0,table 13.8.23: india: investments in renewable heat generation,2012-,2021-,2031-,2041-,2012-,unit,annual average
1,ref ,2020,2030,2040,2050,2050,,2012-2050
2,heat pumps billion $ ,131.7,134.3,169.9,184.6,620.5,billion $/a,15.9
3,deep geothermal billion $ ,6.2,0.5,10.1,6.1,22.9,billion $/a,0.6
4,solar thermal billion $ ,119.2,145.2,216.1,251.4,731.8,billion $/a,18.8
5,biomass billion $ ,"1,034.4",912.8,427.9,391.7,"2,766.9",billion $/a,70.9
6,total billion $ ,"1,291.5","1,192.8",824.0,833.8,"4,142.1",billion $/a,106.2
7,heat pumps billion $ ,332.5,"1,325.4","1,951.0","2,282.9","5,891.9",billion $/a,151.1
8,deep geothermal billion $ ,122.9,252.4,"1,133.5","1,003.7","2,512.5",billion $/a,64.4
9,solar thermal billion $ ,401.2,"1,778.8","2,258.7","1,749.4","6,188.1",billion $/a,158.7
10,bomass billion $ ,893.7,403.7,269.5,164.1,"1,731.0",billion $/a,44.4
11,total billion $ ,"1,750.3","3,760.4","5,612.6","5,200.2","16,323.4",billion $/a,418.5
12,heat pumps billion $ ,332.5,"1,325.4","2,040.8","2,393.0","6,091.7",billion $/a,156.2
13,deep geothermal billion $ ,123.0,252.4,"1,139.7","1,123.1","2,638.2",billion $/a,67.6
14,solar thermal billion $ ,401.3,"1,782.2","2,304.6","1,819.0","6,307.2",billion $/a,161.7
15,biomass billion $ ,893.6,403.5,268.6,130.3,"1,695.9",billion $/a,43.5
16,total billion $ ,"1,750.3","3,763.5","5,753.7","5,465.4","16,733.0",billion $/a,429.1
0,table 13.1.24: global: total employment in the energy sector million jobs,,,reference,scenariO,,adv e[r] scenariO,
1,by fuel ,2015,2020,2025,2030,2020,2025,2030.0
2,coal,9.76,9.67,8.63,7.70,4.80,3.28,1.97
3,"gas, oil & diesel",3.58,4.16,4.56,4.67,4.00,4.18,
4,nuclear,0.73,0.86,0.83,0.74,0.52,0.52,0.51
5,renewable ,14.62,15.41,15.59,14.84,26.91,38.68,41.56
6,total jobs ,28.69,30.11,29.62,27.95,36.24,46.65,48.01
7,construction and installation,4.86,5.09,4.60,3.95,8.32,14.59,15.56
8,manufacturing,2.38,2.44,2.23,1.91,5.49,8.87,9.58
9,operations and maintenance,3.23,3.94,4.30,4.27,4.82,6.96,9.0
10,fuel supply (domestic) ,17.76,18.12,17.93,17.27,17.27,15.97,13.67
11,coal and gas export,0.47,0.52,0.54,0.57,0.34,0.26,0.2
12,total jobs (million) ,28.69,30.11,29.62,27.95,36.24,46.65,48.01
13,coal,9.76,9.67,8.63,7.70,4.80,3.28,1.97
14,"gas, oil & diesel",3.58,4.16,4.56,4.67,4.00,4.18,3.98
15,nuclear,0.73,0.86,0.83,0.74,0.52,0.52,0.51
16,biomass ,10.97,11.85,12.05,11.76,12.07,12.55,11.54
17,hydro,1.45,1.46,1.47,1.29,1.01,0.83,0.71
18,wind,0.70,0.72,0.76,0.65,4.22,6.91,8.18
19,pv,1.01,0.87,0.84,0.66,6.69,11.04,10.32
20,geothermal power,0.03,0.03,0.03,0.03,0.18,0.30,0.39
21,solar thermal power,0.03,0.04,0.05,0.08,0.45,1.66,2.66
0,table 13.2.22: Oecd north america: investments in electricity generation,2012-,2021-,2031-,2041-,2012-,unit,annual average
1,ref ,2020,2030,2040,2050,2050,,2012-2050
2,fossil (w/o chp) billion $ ,354.1,462.1,606.2,458.1,"1,880.4",billion $/a,48.2
3,nuclear billion $ ,123.3,155.4,129.1,160.3,568.2,billion $/a,14.6
4,chp (fossil + renewable) billion $ ,88.1,47.8,11.9,5.9,153.7,billion $/a,3.9
5,renewables (w/o chp) billion $ ,380.6,398.3,433.5,462.0,"1,674.5",billion $/a,42.9
6,total billion $ ,946.2,"1,063.6","1,180.7","1,086.3","4,276.8",billion $/a,109.7
7,conventional (fossil & nuclear) billion $ ,555.6,658.0,746.2,621.9,"2,581.6",billion $/a,66.2
8,renewables billion $ ,390.5,405.6,434.5,464.5,"1,695.2",billion $/a,43.5
9,biomass billion $ ,40.1,34.5,45.2,43.4,163.3,billion $/a,4.2
10,hydro billion $ ,120.1,139.0,97.1,105.2,461.4,billion $/a,11.8
11,wind billion $ ,109.5,139.7,182.8,192.0,623.9,billion $/a,16.0
12,pv billion $ ,64.4,44.6,66.5,53.2,228.8,billion $/a,5.9
13,geothermal billion $ ,32.7,24.7,18.4,25.4,101.1,billion $/a,2.6
14,solar thermal power plants billion $ ,23.7,21.0,20.5,40.7,105.9,billion $/a,2.7
15,ocean energy billion $ ,0.0,2.2,4.0,4.5,10.7,billion $/a,0.3
16,fossil (w/o chp) billion $ ,183.9,213.6,319.0,96.9,813.5,billion $/a,20.9
17,nuclear billion $ ,4.5,0.0,0.0,0.0,4.5,billion $/a,0.1
18,chp (fossil + renewable) billion $ ,134.2,143.6,134.0,230.8,642.6,billion $/a,16.5
19,renewables (w/o chp) billion $ ,802.4,"2,306.2","1,979.3","1,759.9","6,847.7",billion $/a,175.6
20,total billion $ ,"1,124.9","2,663.4","2,432.3","2,087.6","8,308.2",billion $/a,213.0
21,conventional (fossil & nuclear) billion $ ,280.9,266.4,333.6,105.2,986.1,billion $/a,25.3
22,renewables billion $ ,844.0,"2,397.0","2,098.7","1,982.4","7,322.1",billion $/a,187.7
23,biomass billion $ ,41.9,49.3,59.4,139.8,290.4,billion $/a,7.4
24,hydro billion $ ,137.3,144.9,123.5,117.6,523.4,billion $/a,13.4
25,wind billion $ ,293.1,718.6,756.8,755.5,"2,524.0",billion $/a,64.7
26,pv billion $ ,249.9,696.1,327.5,424.6,"1,698.1",billion $/a,43.5
27,geothermal billion $ ,60.4,190.3,183.5,211.0,645.1,billion $/a,16.5
28,solar thermal power plants billion $ ,28.0,497.7,411.0,202.3,"1,139.0",billion $/a,29.2
29,ocean energy billion $ ,33.3,100.1,237.0,131.7,502.1,billion $/a,12.9
