,0,1,2,3,4,5,6
0,Table 13.1.1 Global: Electricity generation TWh/a,2012,2020,2025,2030,2040,2050
1,Power plants,"19,125","24,639","28,392","32,169","39,767","45,752"
2,Hard coal (& non-renewable waste),"5,477","7,315","8,702","10,167","13,224","15,074"
3,lignite,"1,718","1,897","2,044","2,143","2,380","2,617"
4,Gas,"3,876","4,614","5,665","6,710","9,020","10,759"
5,of which from H2,0,0,0,0,0,0
6,oil,889,647,532,418,301,212
7,Diesel,147,158,180,202,234,256
8,nuclear,"2,450","3,215","3,443","3,670","3,856","4,054"
9,biomass (& renewable waste),205,523,652,780,"1,009","1,251"
10,Hydro,"3,672","4,458","4,832","5,207","5,862","6,431"
11,Wind,521,"1,254","1,608","1,962","2,552","3,202"
12,of which wind offshore,19,69,123,189,346,521
13,PV,97,408,519,630,832,"1,096"
14,Geothermal,69,111,148,185,283,419
15,solar thermal power plants,5,34,60,85,173,303
16,ocean energy,0,3,6,10,41,76
17,Combined heat and power plants,"3,478","3,854","3,983","4,088","4,240","4,359"
18,Hard coal (& non-renewable waste),"1,670","1,873","1,929","1,956","1,958","1,891"
19,lignite,193,187,185,182,175,171
20,Gas,"1,351","1,510","1,577","1,650","1,785","1,941"
21,of which from H2,0,0,0,0,0,0
22,oil,88,63,50,36,26,23
23,biomass (& renewable waste),175,218,237,259,290,326
24,Geothermal,2,2,3,3,4,6
25,Hydrogen,0,1,1,1,1,1
26,CHP by producer,,,,,,
27,Main activity producers,"1,576","1,632","1,633","1,631","1,628","1,641"
28,autoproducers,"1,903","2,222","2,349","2,457","2,612","2,717"
29,Total generation,"22,604","28,492","32,374","36,256","44,007","50,110"
30,fossil,"15,409","18,266","20,865","23,464","29,104","32,945"
31,Hard coal (& non-renewable waste),"7,148","9,189","10,631","12,123","15,182","16,966"
32,lignite,"1,911","2,085","2,229","2,325","2,556","2,787"
33,Gas,"5,226","6,124","7,242","8,360","10,806","12,700"
34,oil,978,710,582,454,327,236
35,Diesel,147,158,180,202,234,256
36,nuclear,"2,450","3,215","3,443","3,670","3,856","4,054"
37,Hydrogen,0,1,1,1,1,1
38,of which renewable H2,0,0,0,0,0,0
39,Renewables (w/o renewable hydrogen),"4,744","7,010","8,066","9,121","11,046","13,111"
40,Hydro,"3,672","4,458","4,832","5,207","5,862","6,431"
41,Wind,521,"1,254","1,608","1,962","2,552","3,202"
42,PV,97,408,519,630,832,"1,096"
43,biomass (& renewable waste),379,740,890,"1,039","1,299","1,577"
44,Geothermal,70,113,151,188,287,425
45,solar thermal power plants,5,34,60,85,173,303
46,ocean energy,0,3,6,10,41,76
47,Distribution losses,"1,839","2,371","2,751","3,130","3,922","4,615"
48,own consumption electricity,"1,910","2,161","2,328","2,495","2,835","2,878"
49,electricity for hydrogen production,0,3,3,4,4,4
50,electricity for synfuel production,0,0,0,0,0,0
51,Final energy consumption (electricity),"18,863","23,969","27,304","30,639","37,255","42,622"
52,"fluctuating res (PV, Wind, ocean)",618,"1,665","2,133","2,602","3,425","4,374"
53,share of fluctuating res,3%,6%,7%,7%,8%,9%
54,RES share,21%,25%,25%,25%,25%,26%
0,Table 13.1.2 Global: Final energy consumption in transport PJ/a,2012,2020,2025,2030,2040,2050
1,Road ,"78,688","89,912","98,701","107,510","120,944","130,313"
2,fossil fuels ,"74,800","84,096","91,476","98,864","108,461","114,616"
3,biofuels ,"2,486","3,622","4,487","5,352","7,224","7,982"
4,synfuels ,0,0,0,0,0,0
5,natural gas ,"1,394","2,095","2,472","2,850","4,319","6,218"
6,Hydrogen ,0,0,0,0,0,0
7,electricity ,9,99,267,444,939,"1,497"
8,Rail ,"2,766","3,134","3,335","3,517","3,887","4,260"
9,fossil fuels ,"1,701","1,839","1,952","2,054","2,256","2,452"
10,biofuels ,0,0,0,0,0,0
11,synfuels ,0,0,0,0,0,0
12,electricity ,"1,065","1,294","1,383","1,463","1,631","1,808"
13,Navigation ,"2,173","2,506","2,707","2,963","3,269","3,470"
14,fossil fuels ,"2,173","2,506","2,707","2,963","3,269","3,470"
15,biofuels ,0,0,0,0,0,0
16,synfuels ,0,0,0,0,0,0
17,Aviation ,"4,120","5,026","5,512","5,943","6,730","7,573"
18,fossil fuels ,"4,120","5,026","5,512","5,943","6,730","7,573"
19,biofuels ,0,0,0,0,0,0
20,synfuels ,0,0,0,0,0,0
21,Total (incl. pipelines) ,"90,119","103,044","112,778","122,511","137,518","148,418"
22,fossil fuels ,"82,794","93,468","101,647","109,825","120,716","128,112"
23,biofuels (incl. biogas) ,"2,486","3,622","4,487","5,352","7,224","7,982"
24,synfuels ,0,0,0,0,0,0
25,natural gas ,"3,765","4,561","4,994","5,427","7,008","9,020"
26,Hydrogen ,0,0,0,0,0,0
27,electricity ,"1,074","1,393","1,650","1,907","2,570","3,304"
28,Total RES ,"2,711","3,964","4,898","5,832","7,869","8,846"
29,RES share ,3%,4%,4%,5%,6%,6%
0,Table 13.1.3 Global: Heat supply PJ/a,2012,2020,2025,2030,2040,2050
1,District heating plants,"8,275","9,035","9,538","10,053","10,456","10,732"
2,fossil fuels,"8,030","8,713","9,173","9,638","9,945","10,139"
3,biomass,239,309,348,393,477,548
4,solar collectors,0,1,1,2,5,11
5,Geothermal,6,13,16,20,28,34
6,Heat from CHP1,"10,083","11,280","11,876","12,498","13,876","16,079"
7,fossil fuels,"9,566","10,557","11,030","11,502","12,519","13,893"
8,biomass,507,704,823,969,"1,320","2,139"
9,Geothermal,10,15,19,23,31,40
10,Hydrogen,0,4,5,5,6,6
11,Direct heating,"129,751","149,371","159,100","169,071","188,257","205,512"
12,fossil fuels,"91,517","107,600","115,232","123,061","137,389","149,826"
13,biomass,"26,739","28,805","29,945","31,105","33,793","36,299"
14,solar collectors,803,"1,385","1,745","2,105","2,840","3,830"
15,Geothermal,0,0,0,0,0,0
16,Heat pumps2,468,661,775,886,"1,217","1,646"
17,electric direct heating,"10,224","10,921","11,404","11,914","13,018","13,911"
18,Hydrogen,0,0,0,0,0,0
19,Total heat supply3,"148,109","169,687","180,515","191,622","212,588","232,322"
20,fossil fuels,"109,112","126,869","135,434","144,200","159,853","173,858"
21,biomass,"27,486","29,818","31,115","32,467","35,590","38,986"
22,solar collectors,804,"1,386","1,746","2,107","2,845","3,841"
23,Geothermal,16,28,35,43,59,74
24,Heat pumps2,468,661,775,886,"1,217","1,646"
25,electric direct heating,"10,224","10,921","11,404","11,914","13,018","13,911"
26,Hydrogen,0,4,5,5,6,6
27,RES share (including RES electricity),21%,20%,20%,20%,20%,21%
0,Table 13.1.4: Global: Installed capacity GW,2012,2020,2025,2030,2040,2050
1,Total generation,"5,680","7,343","8,237","9,130","10,747","12,033"
2,Fossil,"3,712","4,500","5,016","5,532","6,534","7,134"
3,Hard coal (& non-renewable waste),"1,407","1,820","2,092","2,373","2,888","3,091"
4,lignite,373,387,408,422,453,484
5,Gas (w/o H2),"1,499","1,918","2,178","2,439","2,930","3,341"
6,oil,378,308,264,216,161,112
7,Diesel,55,66,73,83,102,105
8,nuclear,393,447,471,496,517,544
9,"Hydrogen (fuel cells, gas power plants, gas cHP)",0,0,0,0,0,0
10,Renewables,"1,575","2,396","2,749","3,101","3,696","4,355"
11,Hydro,"1,099","1,331","1,438","1,544","1,715","1,878"
12,Wind,277,554,681,807,998,"1,217"
13,of which wind offshore,5,20,36,55,98,145
14,PV,97,332,413,494,635,803
15,biomass (& renewable waste),87,150,174,199,243,293
16,Geothermal,11,17,22,28,42,62
