,Year,World,OECD90,Eastern Europe,Asia (Sans Japan),Middle East and Africa,Latin America,China,India,EU,USA,Category,Directory
0,2012,38.81960000000001,,,,,,,,,,solarpvroof,drawdown-master/solution/solarpvroof/ad/ad_based_on_IEA_ETP_2016_6DS.csv
1,2013,54.04360000000001,,,,,,,,,,solarpvroof,drawdown-master/solution/solarpvroof/ad/ad_based_on_IEA_ETP_2016_6DS.csv
2,2014,75.2292,,,,,,,,,,solarpvroof,drawdown-master/solution/solarpvroof/ad/ad_based_on_IEA_ETP_2016_6DS.csv
3,2015,93.23818904458142,,,,,,,,,,solarpvroof,drawdown-master/solution/solarpvroof/ad/ad_based_on_IEA_ETP_2016_6DS.csv
4,2016,107.58980461100809,,,,,,,,,,solarpvroof,drawdown-master/solution/solarpvroof/ad/ad_based_on_IEA_ETP_2016_6DS.csv
5,2017,122.36622159886166,,,,,,,,,,solarpvroof,drawdown-master/solution/solarpvroof/ad/ad_based_on_IEA_ETP_2016_6DS.csv
6,2018,137.57323385927506,,,,,,,,,,solarpvroof,drawdown-master/solution/solarpvroof/ad/ad_based_on_IEA_ETP_2016_6DS.csv
7,2019,153.21663524338126,,,,,,,,,,solarpvroof,drawdown-master/solution/solarpvroof/ad/ad_based_on_IEA_ETP_2016_6DS.csv
8,2020,168.12623910746368,,,,,,,,,,solarpvroof,drawdown-master/solution/solarpvroof/ad/ad_based_on_IEA_ETP_2016_6DS.csv
9,2021,185.83578078720402,,,,,,,,,,solarpvroof,drawdown-master/solution/solarpvroof/ad/ad_based_on_IEA_ETP_2016_6DS.csv
10,2022,202.82311264918656,,,,,,,,,,solarpvroof,drawdown-master/solution/solarpvroof/ad/ad_based_on_IEA_ETP_2016_6DS.csv
11,2023,220.27000903939393,,,,,,,,,,solarpvroof,drawdown-master/solution/solarpvroof/ad/ad_based_on_IEA_ETP_2016_6DS.csv
12,2024,238.18226380895888,,,,,,,,,,solarpvroof,drawdown-master/solution/solarpvroof/ad/ad_based_on_IEA_ETP_2016_6DS.csv
13,2025,257.314145893225,,,,,,,,,,solarpvroof,drawdown-master/solution/solarpvroof/ad/ad_based_on_IEA_ETP_2016_6DS.csv
14,2026,275.42602389069407,,,,,,,,,,solarpvroof,drawdown-master/solution/solarpvroof/ad/ad_based_on_IEA_ETP_2016_6DS.csv
15,2027,294.7691169051302,,,,,,,,,,solarpvroof,drawdown-master/solution/solarpvroof/ad/ad_based_on_IEA_ETP_2016_6DS.csv
16,2028,314.6007437034561,,,,,,,,,,solarpvroof,drawdown-master/solution/solarpvroof/ad/ad_based_on_IEA_ETP_2016_6DS.csv
17,2029,334.92669813680453,,,,,,,,,,solarpvroof,drawdown-master/solution/solarpvroof/ad/ad_based_on_IEA_ETP_2016_6DS.csv
18,2030,357.19664426256895,,,,,,,,,,solarpvroof,drawdown-master/solution/solarpvroof/ad/ad_based_on_IEA_ETP_2016_6DS.csv
19,2031,377.0847653131012,,,,,,,,,,solarpvroof,drawdown-master/solution/solarpvroof/ad/ad_based_on_IEA_ETP_2016_6DS.csv
20,2032,398.9284657583155,,,,,,,,,,solarpvroof,drawdown-master/solution/solarpvroof/ad/ad_based_on_IEA_ETP_2016_6DS.csv
21,2033,421.28966924308446,,,,,,,,,,solarpvroof,drawdown-master/solution/solarpvroof/ad/ad_based_on_IEA_ETP_2016_6DS.csv
22,2034,444.1741696185409,,,,,,,,,,solarpvroof,drawdown-master/solution/solarpvroof/ad/ad_based_on_IEA_ETP_2016_6DS.csv
23,2035,468.8765426752318,,,,,,,,,,solarpvroof,drawdown-master/solution/solarpvroof/ad/ad_based_on_IEA_ETP_2016_6DS.csv
24,2036,491.53623644604835,,,,,,,,,,solarpvroof,drawdown-master/solution/solarpvroof/ad/ad_based_on_IEA_ETP_2016_6DS.csv
25,2037,516.0253906003654,,,,,,,,,,solarpvroof,drawdown-master/solution/solarpvroof/ad/ad_based_on_IEA_ETP_2016_6DS.csv
26,2038,541.0610170499019,,,,,,,,,,solarpvroof,drawdown-master/solution/solarpvroof/ad/ad_based_on_IEA_ETP_2016_6DS.csv
27,2039,566.6489096457908,,,,,,,,,,solarpvroof,drawdown-master/solution/solarpvroof/ad/ad_based_on_IEA_ETP_2016_6DS.csv
28,2040,601.3240588921954,,,,,,,,,,solarpvroof,drawdown-master/solution/solarpvroof/ad/ad_based_on_IEA_ETP_2016_6DS.csv
29,2041,619.5046686811584,,,,,,,,,,solarpvroof,drawdown-master/solution/solarpvroof/ad/ad_based_on_IEA_ETP_2016_6DS.csv
30,2042,646.7841228229026,,,,,,,,,,solarpvroof,drawdown-master/solution/solarpvroof/ad/ad_based_on_IEA_ETP_2016_6DS.csv
31,2043,674.6390185155315,,,,,,,,,,solarpvroof,drawdown-master/solution/solarpvroof/ad/ad_based_on_IEA_ETP_2016_6DS.csv
32,2044,703.0751496101776,,,,,,,,,,solarpvroof,drawdown-master/solution/solarpvroof/ad/ad_based_on_IEA_ETP_2016_6DS.csv
33,2045,732.0397734694591,,,,,,,,,,solarpvroof,drawdown-master/solution/solarpvroof/ad/ad_based_on_IEA_ETP_2016_6DS.csv
34,2046,761.714293410054,,,,,,,,,,solarpvroof,drawdown-master/solution/solarpvroof/ad/ad_based_on_IEA_ETP_2016_6DS.csv
35,2047,791.9288938175501,,,,,,,,,,solarpvroof,drawdown-master/solution/solarpvroof/ad/ad_based_on_IEA_ETP_2016_6DS.csv
36,2048,822.7479050315958,,,,,,,,,,solarpvroof,drawdown-master/solution/solarpvroof/ad/ad_based_on_IEA_ETP_2016_6DS.csv
37,2049,854.1771209033238,,,,,,,,,,solarpvroof,drawdown-master/solution/solarpvroof/ad/ad_based_on_IEA_ETP_2016_6DS.csv
38,2050,885.7287227704958,,,,,,,,,,solarpvroof,drawdown-master/solution/solarpvroof/ad/ad_based_on_IEA_ETP_2016_6DS.csv
39,2051,918.8893420243584,,,,,,,,,,solarpvroof,drawdown-master/solution/solarpvroof/ad/ad_based_on_IEA_ETP_2016_6DS.csv
40,2052,952.1839349759309,,,,,,,,,,solarpvroof,drawdown-master/solution/solarpvroof/ad/ad_based_on_IEA_ETP_2016_6DS.csv
41,2053,986.111907989718,,,,,,,,,,solarpvroof,drawdown-master/solution/solarpvroof/ad/ad_based_on_IEA_ETP_2016_6DS.csv
42,2054,1020.6790549168522,,,,,,,,,,solarpvroof,drawdown-master/solution/solarpvroof/ad/ad_based_on_IEA_ETP_2016_6DS.csv
43,2055,1055.8911696084667,,,,,,,,,,solarpvroof,drawdown-master/solution/solarpvroof/ad/ad_based_on_IEA_ETP_2016_6DS.csv
44,2056,1091.7540459156942,,,,,,,,,,solarpvroof,drawdown-master/solution/solarpvroof/ad/ad_based_on_IEA_ETP_2016_6DS.csv
45,2057,1128.273477689668,,,,,,,,,,solarpvroof,drawdown-master/solution/solarpvroof/ad/ad_based_on_IEA_ETP_2016_6DS.csv
46,2058,1165.4552587815208,,,,,,,,,,solarpvroof,drawdown-master/solution/solarpvroof/ad/ad_based_on_IEA_ETP_2016_6DS.csv
47,2059,1203.3051830423858,,,,,,,,,,solarpvroof,drawdown-master/solution/solarpvroof/ad/ad_based_on_IEA_ETP_2016_6DS.csv
48,2060,1241.829044323396,,,,,,,,,,solarpvroof,drawdown-master/solution/solarpvroof/ad/ad_based_on_IEA_ETP_2016_6DS.csv
0,2012,38.81960000000001,,,,,,,,,,solarpvroof,drawdown-master/solution/solarpvroof/ad/ad_based_on_IEA_ETP_2016_4DS.csv
1,2013,54.04360000000001,,,,,,,,,,solarpvroof,drawdown-master/solution/solarpvroof/ad/ad_based_on_IEA_ETP_2016_4DS.csv
2,2014,75.2292,,,,,,,,,,solarpvroof,drawdown-master/solution/solarpvroof/ad/ad_based_on_IEA_ETP_2016_4DS.csv
3,2015,95.27978057594349,,,,,,,,,,solarpvroof,drawdown-master/solution/solarpvroof/ad/ad_based_on_IEA_ETP_2016_4DS.csv
4,2016,113.4616812222665,,,,,,,,,,solarpvroof,drawdown-master/solution/solarpvroof/ad/ad_based_on_IEA_ETP_2016_4DS.csv
5,2017,132.73961400272438,,,,,,,,,,solarpvroof,drawdown-master/solution/solarpvroof/ad/ad_based_on_IEA_ETP_2016_4DS.csv
6,2018,153.06325038543682,,,,,,,,,,solarpvroof,drawdown-master/solution/solarpvroof/ad/ad_based_on_IEA_ETP_2016_4DS.csv
7,2019,174.38226183852376,,,,,,,,,,solarpvroof,drawdown-master/solution/solarpvroof/ad/ad_based_on_IEA_ETP_2016_4DS.csv
8,2020,196.1843551691452,,,,,,,,,,solarpvroof,drawdown-master/solution/solarpvroof/ad/ad_based_on_IEA_ETP_2016_4DS.csv
9,2021,219.80509582830018,,,,,,,,,,solarpvroof,drawdown-master/solution/solarpvroof/ad/ad_based_on_IEA_ETP_2016_4DS.csv
10,2022,243.8082613012293,,,,,,,,,,solarpvroof,drawdown-master/solution/solarpvroof/ad/ad_based_on_IEA_ETP_2016_4DS.csv
11,2023,268.6054877170122,,,,,,,,,,solarpvroof,drawdown-master/solution/solarpvroof/ad/ad_based_on_IEA_ETP_2016_4DS.csv
12,2024,294.1464465437686,,,,,,,,,,solarpvroof,drawdown-master/solution/solarpvroof/ad/ad_based_on_IEA_ETP_2016_4DS.csv
13,2025,326.78885740543706,,,,,,,,,,solarpvroof,drawdown-master/solution/solarpvroof/ad/ad_based_on_IEA_ETP_2016_4DS.csv
14,2026,347.2582473026813,,,,,,,,,,solarpvroof,drawdown-master/solution/solarpvroof/ad/ad_based_on_IEA_ETP_2016_4DS.csv
15,2027,374.7284321710772,,,,,,,,,,solarpvroof,drawdown-master/solution/solarpvroof/ad/ad_based_on_IEA_ETP_2016_4DS.csv
16,2028,402.7410353229259,,,,,,,,,,solarpvroof,drawdown-master/solution/solarpvroof/ad/ad_based_on_IEA_ETP_2016_4DS.csv
17,2029,431.2457282263472,,,,,,,,,,solarpvroof,drawdown-master/solution/solarpvroof/ad/ad_based_on_IEA_ETP_2016_4DS.csv
18,2030,461.37568651219055,,,,,,,,,,solarpvroof,drawdown-master/solution/solarpvroof/ad/ad_based_on_IEA_ETP_2016_4DS.csv
19,2031,489.530069160387,,,,,,,,,,solarpvroof,drawdown-master/solution/solarpvroof/ad/ad_based_on_IEA_ETP_2016_4DS.csv
20,2032,519.209060127245,,,,,,,,,,solarpvroof,drawdown-master/solution/solarpvroof/ad/ad_based_on_IEA_ETP_2016_4DS.csv
21,2033,549.1788267181549,,,,,,,,,,solarpvroof,drawdown-master/solution/solarpvroof/ad/ad_based_on_IEA_ETP_2016_4DS.csv
22,2034,579.3890404012367,,,,,,,,,,solarpvroof,drawdown-master/solution/solarpvroof/ad/ad_based_on_IEA_ETP_2016_4DS.csv
23,2035,610.6588339113192,,,,,,,,,,solarpvroof,drawdown-master/solution/solarpvroof/ad/ad_based_on_IEA_ETP_2016_4DS.csv
24,2036,640.3294949163943,,,,,,,,,,solarpvroof,drawdown-master/solution/solarpvroof/ad/ad_based_on_IEA_ETP_2016_4DS.csv
25,2037,670.9590786847102,,,,,,,,,,solarpvroof,drawdown-master/solution/solarpvroof/ad/ad_based_on_IEA_ETP_2016_4DS.csv
26,2038,701.6277954176767,,,,,,,,,,solarpvroof,drawdown-master/solution/solarpvroof/ad/ad_based_on_IEA_ETP_2016_4DS.csv
27,2039,732.2853165834143,,,,,,,,,,solarpvroof,drawdown-master/solution/solarpvroof/ad/ad_based_on_IEA_ETP_2016_4DS.csv
28,2040,763.1191717208462,,,,,,,,,,solarpvroof,drawdown-master/solution/solarpvroof/ad/ad_based_on_IEA_ETP_2016_4DS.csv
