,Year,World,OECD90,Eastern Europe,Asia (Sans Japan),Middle East and Africa,Latin America,China,India,EU,USA,Category,Directory
0,2012,0.7096774193548387,,,,,,,,,,smartglass,drawdown-master/solution/smartglass/ca_pds_data/custom_pds_ad_PDS3_Adoption_based_on_Navigant_Sales_and_World_Green_Buildings_Council_Targets.csv
1,2013,0.6451612903225807,,,,,,,,,,smartglass,drawdown-master/solution/smartglass/ca_pds_data/custom_pds_ad_PDS3_Adoption_based_on_Navigant_Sales_and_World_Green_Buildings_Council_Targets.csv
2,2014,2.064516129032258,,,,,,,,,,smartglass,drawdown-master/solution/smartglass/ca_pds_data/custom_pds_ad_PDS3_Adoption_based_on_Navigant_Sales_and_World_Green_Buildings_Council_Targets.csv
3,2015,4.516129032258065,,,,,,,,,,smartglass,drawdown-master/solution/smartglass/ca_pds_data/custom_pds_ad_PDS3_Adoption_based_on_Navigant_Sales_and_World_Green_Buildings_Council_Targets.csv
4,2016,7.806451612903227,,,,,,,,,,smartglass,drawdown-master/solution/smartglass/ca_pds_data/custom_pds_ad_PDS3_Adoption_based_on_Navigant_Sales_and_World_Green_Buildings_Council_Targets.csv
5,2017,12.967741935483874,,,,,,,,,,smartglass,drawdown-master/solution/smartglass/ca_pds_data/custom_pds_ad_PDS3_Adoption_based_on_Navigant_Sales_and_World_Green_Buildings_Council_Targets.csv
6,2018,20.387096774193548,,,,,,,,,,smartglass,drawdown-master/solution/smartglass/ca_pds_data/custom_pds_ad_PDS3_Adoption_based_on_Navigant_Sales_and_World_Green_Buildings_Council_Targets.csv
7,2019,30.387096774193548,,,,,,,,,,smartglass,drawdown-master/solution/smartglass/ca_pds_data/custom_pds_ad_PDS3_Adoption_based_on_Navigant_Sales_and_World_Green_Buildings_Council_Targets.csv
8,2020,42.967741935483865,,,,,,,,,,smartglass,drawdown-master/solution/smartglass/ca_pds_data/custom_pds_ad_PDS3_Adoption_based_on_Navigant_Sales_and_World_Green_Buildings_Council_Targets.csv
9,2021,57.806451612903224,,,,,,,,,,smartglass,drawdown-master/solution/smartglass/ca_pds_data/custom_pds_ad_PDS3_Adoption_based_on_Navigant_Sales_and_World_Green_Buildings_Council_Targets.csv
10,2022,75.2258064516129,,,,,,,,,,smartglass,drawdown-master/solution/smartglass/ca_pds_data/custom_pds_ad_PDS3_Adoption_based_on_Navigant_Sales_and_World_Green_Buildings_Council_Targets.csv
11,2023,245.66495905967534,,,,,,,,,,smartglass,drawdown-master/solution/smartglass/ca_pds_data/custom_pds_ad_PDS3_Adoption_based_on_Navigant_Sales_and_World_Green_Buildings_Council_Targets.csv
12,2024,415.3156411300318,,,,,,,,,,smartglass,drawdown-master/solution/smartglass/ca_pds_data/custom_pds_ad_PDS3_Adoption_based_on_Navigant_Sales_and_World_Green_Buildings_Council_Targets.csv
13,2025,643.6037796367342,,,,,,,,,,smartglass,drawdown-master/solution/smartglass/ca_pds_data/custom_pds_ad_PDS3_Adoption_based_on_Navigant_Sales_and_World_Green_Buildings_Council_Targets.csv
14,2026,938.5413349827822,,,,,,,,,,smartglass,drawdown-master/solution/smartglass/ca_pds_data/custom_pds_ad_PDS3_Adoption_based_on_Navigant_Sales_and_World_Green_Buildings_Council_Targets.csv
15,2027,1308.1402675711756,,,,,,,,,,smartglass,drawdown-master/solution/smartglass/ca_pds_data/custom_pds_ad_PDS3_Adoption_based_on_Navigant_Sales_and_World_Green_Buildings_Council_Targets.csv
16,2028,1760.4125378049125,,,,,,,,,,smartglass,drawdown-master/solution/smartglass/ca_pds_data/custom_pds_ad_PDS3_Adoption_based_on_Navigant_Sales_and_World_Green_Buildings_Council_Targets.csv
17,2029,2303.370106086994,,,,,,,,,,smartglass,drawdown-master/solution/smartglass/ca_pds_data/custom_pds_ad_PDS3_Adoption_based_on_Navigant_Sales_and_World_Green_Buildings_Council_Targets.csv
