,Year,World,OECD90,Eastern Europe,Asia (Sans Japan),Middle East and Africa,Latin America,China,India,EU,USA,Category,Directory
0,2012,,,,,,,,,,,nuclear,drawdown-master/solution/nuclear/ca_ref_data/custom_ref_ad_Custom_REF_Adoption_mirroring_decline_in_nuclear_in_Plausible_S8b57661b.csv
1,2013,,,,,,,,,,,nuclear,drawdown-master/solution/nuclear/ca_ref_data/custom_ref_ad_Custom_REF_Adoption_mirroring_decline_in_nuclear_in_Plausible_S8b57661b.csv
2,2014,2417.0,,,,,,,,,,nuclear,drawdown-master/solution/nuclear/ca_ref_data/custom_ref_ad_Custom_REF_Adoption_mirroring_decline_in_nuclear_in_Plausible_S8b57661b.csv
3,2015,2504.603800442856,,,,,,,,,,nuclear,drawdown-master/solution/nuclear/ca_ref_data/custom_ref_ad_Custom_REF_Adoption_mirroring_decline_in_nuclear_in_Plausible_S8b57661b.csv
4,2016,2657.2836494489607,,,,,,,,,,nuclear,drawdown-master/solution/nuclear/ca_ref_data/custom_ref_ad_Custom_REF_Adoption_mirroring_decline_in_nuclear_in_Plausible_S8b57661b.csv
5,2017,2734.777899344154,,,,,,,,,,nuclear,drawdown-master/solution/nuclear/ca_ref_data/custom_ref_ad_Custom_REF_Adoption_mirroring_decline_in_nuclear_in_Plausible_S8b57661b.csv
6,2018,2813.477085306093,,,,,,,,,,nuclear,drawdown-master/solution/nuclear/ca_ref_data/custom_ref_ad_Custom_REF_Adoption_mirroring_decline_in_nuclear_in_Plausible_S8b57661b.csv
7,2019,2893.152330954346,,,,,,,,,,nuclear,drawdown-master/solution/nuclear/ca_ref_data/custom_ref_ad_Custom_REF_Adoption_mirroring_decline_in_nuclear_in_Plausible_S8b57661b.csv
8,2020,2973.631687680712,,,,,,,,,,nuclear,drawdown-master/solution/nuclear/ca_ref_data/custom_ref_ad_Custom_REF_Adoption_mirroring_decline_in_nuclear_in_Plausible_S8b57661b.csv
9,2021,3054.783773138714,,,,,,,,,,nuclear,drawdown-master/solution/nuclear/ca_ref_data/custom_ref_ad_Custom_REF_Adoption_mirroring_decline_in_nuclear_in_Plausible_S8b57661b.csv
10,2022,3136.506764564135,,,,,,,,,,nuclear,drawdown-master/solution/nuclear/ca_ref_data/custom_ref_ad_Custom_REF_Adoption_mirroring_decline_in_nuclear_in_Plausible_S8b57661b.csv
11,2023,3218.720808264668,,,,,,,,,,nuclear,drawdown-master/solution/nuclear/ca_ref_data/custom_ref_ad_Custom_REF_Adoption_mirroring_decline_in_nuclear_in_Plausible_S8b57661b.csv
12,2024,3301.3626691671507,,,,,,,,,,nuclear,drawdown-master/solution/nuclear/ca_ref_data/custom_ref_ad_Custom_REF_Adoption_mirroring_decline_in_nuclear_in_Plausible_S8b57661b.csv
13,2025,3384.381885214847,,,,,,,,,,nuclear,drawdown-master/solution/nuclear/ca_ref_data/custom_ref_ad_Custom_REF_Adoption_mirroring_decline_in_nuclear_in_Plausible_S8b57661b.csv
14,2026,3467.737954664616,,,,,,,,,,nuclear,drawdown-master/solution/nuclear/ca_ref_data/custom_ref_ad_Custom_REF_Adoption_mirroring_decline_in_nuclear_in_Plausible_S8b57661b.csv
15,2027,3551.3982460596844,,,,,,,,,,nuclear,drawdown-master/solution/nuclear/ca_ref_data/custom_ref_ad_Custom_REF_Adoption_mirroring_decline_in_nuclear_in_Plausible_S8b57661b.csv
16,2028,3635.33642257261,,,,,,,,,,nuclear,drawdown-master/solution/nuclear/ca_ref_data/custom_ref_ad_Custom_REF_Adoption_mirroring_decline_in_nuclear_in_Plausible_S8b57661b.csv
17,2029,3719.531238124485,,,,,,,,,,nuclear,drawdown-master/solution/nuclear/ca_ref_data/custom_ref_ad_Custom_REF_Adoption_mirroring_decline_in_nuclear_in_Plausible_S8b57661b.csv
18,2030,3803.9656059414174,,,,,,,,,,nuclear,drawdown-master/solution/nuclear/ca_ref_data/custom_ref_ad_Custom_REF_Adoption_mirroring_decline_in_nuclear_in_Plausible_S8b57661b.csv
19,2031,3888.625869223385,,,,,,,,,,nuclear,drawdown-master/solution/nuclear/ca_ref_data/custom_ref_ad_Custom_REF_Adoption_mirroring_decline_in_nuclear_in_Plausible_S8b57661b.csv
20,2032,3973.501223396627,,,,,,,,,,nuclear,drawdown-master/solution/nuclear/ca_ref_data/custom_ref_ad_Custom_REF_Adoption_mirroring_decline_in_nuclear_in_Plausible_S8b57661b.csv
21,2033,4058.583253147464,,,,,,,,,,nuclear,drawdown-master/solution/nuclear/ca_ref_data/custom_ref_ad_Custom_REF_Adoption_mirroring_decline_in_nuclear_in_Plausible_S8b57661b.csv
22,2034,4143.865557088075,,,,,,,,,,nuclear,drawdown-master/solution/nuclear/ca_ref_data/custom_ref_ad_Custom_REF_Adoption_mirroring_decline_in_nuclear_in_Plausible_S8b57661b.csv
23,2035,4229.343439791656,,,,,,,,,,nuclear,drawdown-master/solution/nuclear/ca_ref_data/custom_ref_ad_Custom_REF_Adoption_mirroring_decline_in_nuclear_in_Plausible_S8b57661b.csv
24,2036,4315.013655905508,,,,,,,,,,nuclear,drawdown-master/solution/nuclear/ca_ref_data/custom_ref_ad_Custom_REF_Adoption_mirroring_decline_in_nuclear_in_Plausible_S8b57661b.csv
25,2037,4400.874194688862,,,,,,,,,,nuclear,drawdown-master/solution/nuclear/ca_ref_data/custom_ref_ad_Custom_REF_Adoption_mirroring_decline_in_nuclear_in_Plausible_S8b57661b.csv
