,Asia (Sans Japan),Category,China,Directory,EU,Eastern Europe,India,Latin America,Middle East and Africa,OECD90,USA,World,Year
0,,smartglass,,drawdown-master/solution/smartglass/tam/tam_IEA_2013_Transition_to_Sustainable_Buildings_see_TAM_Factoring.csv,,,,,,,,38860.6571428571,2012
1,,smartglass,,drawdown-master/solution/smartglass/tam/tam_IEA_2013_Transition_to_Sustainable_Buildings_see_TAM_Factoring.csv,,,,,,,,39626.46214285714,2013
2,,smartglass,,drawdown-master/solution/smartglass/tam/tam_IEA_2013_Transition_to_Sustainable_Buildings_see_TAM_Factoring.csv,,,,,,,,40384.68,2014
3,,smartglass,,drawdown-master/solution/smartglass/tam/tam_IEA_2013_Transition_to_Sustainable_Buildings_see_TAM_Factoring.csv,,,,,,,,41135.31071428571,2015
4,,smartglass,,drawdown-master/solution/smartglass/tam/tam_IEA_2013_Transition_to_Sustainable_Buildings_see_TAM_Factoring.csv,,,,,,,,41878.35428571429,2016
5,,smartglass,,drawdown-master/solution/smartglass/tam/tam_IEA_2013_Transition_to_Sustainable_Buildings_see_TAM_Factoring.csv,,,,,,,,42613.81071428571,2017
6,,smartglass,,drawdown-master/solution/smartglass/tam/tam_IEA_2013_Transition_to_Sustainable_Buildings_see_TAM_Factoring.csv,,,,,,,,43341.68,2018
7,,smartglass,,drawdown-master/solution/smartglass/tam/tam_IEA_2013_Transition_to_Sustainable_Buildings_see_TAM_Factoring.csv,,,,,,,,44061.96214285714,2019
8,,smartglass,,drawdown-master/solution/smartglass/tam/tam_IEA_2013_Transition_to_Sustainable_Buildings_see_TAM_Factoring.csv,,,,,,,,43908.0,2020
9,,smartglass,,drawdown-master/solution/smartglass/tam/tam_IEA_2013_Transition_to_Sustainable_Buildings_see_TAM_Factoring.csv,,,,,,,,45479.765,2021
10,,smartglass,,drawdown-master/solution/smartglass/tam/tam_IEA_2013_Transition_to_Sustainable_Buildings_see_TAM_Factoring.csv,,,,,,,,46177.285714285725,2022
11,,smartglass,,drawdown-master/solution/smartglass/tam/tam_IEA_2013_Transition_to_Sustainable_Buildings_see_TAM_Factoring.csv,,,,,,,,46867.21928571429,2023
12,,smartglass,,drawdown-master/solution/smartglass/tam/tam_IEA_2013_Transition_to_Sustainable_Buildings_see_TAM_Factoring.csv,,,,,,,,47549.56571428572,2024
13,,smartglass,,drawdown-master/solution/smartglass/tam/tam_IEA_2013_Transition_to_Sustainable_Buildings_see_TAM_Factoring.csv,,,,,,,,48224.325,2025
14,,smartglass,,drawdown-master/solution/smartglass/tam/tam_IEA_2013_Transition_to_Sustainable_Buildings_see_TAM_Factoring.csv,,,,,,,,48891.49714285714,2026
15,,smartglass,,drawdown-master/solution/smartglass/tam/tam_IEA_2013_Transition_to_Sustainable_Buildings_see_TAM_Factoring.csv,,,,,,,,49551.082142857136,2027
16,,smartglass,,drawdown-master/solution/smartglass/tam/tam_IEA_2013_Transition_to_Sustainable_Buildings_see_TAM_Factoring.csv,,,,,,,,50203.08,2028
17,,smartglass,,drawdown-master/solution/smartglass/tam/tam_IEA_2013_Transition_to_Sustainable_Buildings_see_TAM_Factoring.csv,,,,,,,,50847.49071428571,2029
18,,smartglass,,drawdown-master/solution/smartglass/tam/tam_IEA_2013_Transition_to_Sustainable_Buildings_see_TAM_Factoring.csv,,,,,,,,52124.0,2030
19,,smartglass,,drawdown-master/solution/smartglass/tam/tam_IEA_2013_Transition_to_Sustainable_Buildings_see_TAM_Factoring.csv,,,,,,,,52113.55071428571,2031
20,,smartglass,,drawdown-master/solution/smartglass/tam/tam_IEA_2013_Transition_to_Sustainable_Buildings_see_TAM_Factoring.csv,,,,,,,,52735.2,2032
21,,smartglass,,drawdown-master/solution/smartglass/tam/tam_IEA_2013_Transition_to_Sustainable_Buildings_see_TAM_Factoring.csv,,,,,,,,53349.26214285714,2033
22,,smartglass,,drawdown-master/solution/smartglass/tam/tam_IEA_2013_Transition_to_Sustainable_Buildings_see_TAM_Factoring.csv,,,,,,,,53955.737142857135,2034
23,,smartglass,,drawdown-master/solution/smartglass/tam/tam_IEA_2013_Transition_to_Sustainable_Buildings_see_TAM_Factoring.csv,,,,,,,,54554.625,2035
